[s],CH1[V]
-1.4884E-02,2.355E-02
-1.4882E-02,2.355E-02
-1.4880E-02,2.395E-02
-1.4878E-02,2.355E-02
-1.4876E-02,2.395E-02
-1.4874E-02,2.395E-02
-1.4872E-02,2.355E-02
-1.4870E-02,2.355E-02
-1.4868E-02,2.355E-02
-1.4866E-02,2.355E-02
-1.4864E-02,2.355E-02
-1.4862E-02,2.355E-02
-1.4860E-02,2.355E-02
-1.4858E-02,2.355E-02
-1.4856E-02,2.355E-02
-1.4854E-02,2.355E-02
-1.4852E-02,2.355E-02
-1.4850E-02,2.315E-02
-1.4848E-02,2.355E-02
-1.4846E-02,2.355E-02
-1.4844E-02,2.395E-02
-1.4842E-02,2.355E-02
-1.4840E-02,2.395E-02
-1.4838E-02,2.355E-02
-1.4836E-02,2.355E-02
-1.4834E-02,2.355E-02
-1.4832E-02,2.355E-02
-1.4830E-02,2.355E-02
-1.4828E-02,2.355E-02
-1.4826E-02,2.355E-02
-1.4824E-02,2.355E-02
-1.4822E-02,2.395E-02
-1.4820E-02,2.355E-02
-1.4818E-02,2.355E-02
-1.4816E-02,2.355E-02
-1.4814E-02,2.395E-02
-1.4812E-02,2.355E-02
-1.4810E-02,2.355E-02
-1.4808E-02,2.355E-02
-1.4806E-02,2.355E-02
-1.4804E-02,2.355E-02
-1.4802E-02,2.395E-02
-1.4800E-02,2.355E-02
-1.4798E-02,2.355E-02
-1.4796E-02,2.355E-02
-1.4794E-02,2.395E-02
-1.4792E-02,2.355E-02
-1.4790E-02,2.355E-02
-1.4788E-02,2.395E-02
-1.4786E-02,2.395E-02
-1.4784E-02,2.355E-02
-1.4782E-02,2.355E-02
-1.4780E-02,2.395E-02
-1.4778E-02,2.395E-02
-1.4776E-02,2.355E-02
-1.4774E-02,2.395E-02
-1.4772E-02,2.315E-02
-1.4770E-02,2.395E-02
-1.4768E-02,2.395E-02
-1.4766E-02,2.355E-02
-1.4764E-02,2.355E-02
-1.4762E-02,2.355E-02
-1.4760E-02,2.395E-02
-1.4758E-02,2.395E-02
-1.4756E-02,2.355E-02
-1.4754E-02,2.355E-02
-1.4752E-02,2.355E-02
-1.4750E-02,2.355E-02
-1.4748E-02,2.355E-02
-1.4746E-02,2.355E-02
-1.4744E-02,2.395E-02
-1.4742E-02,2.315E-02
-1.4740E-02,2.355E-02
-1.4738E-02,2.355E-02
-1.4736E-02,2.355E-02
-1.4734E-02,2.355E-02
-1.4732E-02,2.355E-02
-1.4730E-02,2.355E-02
